"","original_id","y","from_start","Afternoon","Evening","Morning","Night","Spring","Summer","Autumn","Winter","mu_s","max_s","sd_s","avg_acceleration","mu_c","max_c","sd_c","mu_a","max_a","sd_a","upwards","downwards"
"1",16375,3,0.950696512674033,1,0,0,0,0,0,1,0,0.0610692242593036,-0.243680512496502,-0.294037977362965,0.224888870390354,0.156025028209967,0.247482599491439,-0.0946806004761795,0.0176469613954629,-0.0298123333968871,-0.312309443491906,-0.316227766016833,-0.340058986372155
"2",6442,4,-0.80149389479311,1,0,0,0,0,0,1,0,0.6828291180745,0.609604725798364,-0.696543647960465,-0.288491313317964,0.555324262046324,0.453718099067638,-0.436143543424359,0.206924853782284,0.216463464229573,-0.0583941572909402,0.913546879604208,-0.145739565588066
"3",7405,3,-1.01255081924652,1,0,0,0,0,1,0,0,0.768672587866418,0.791154776499399,-0.551117324741164,-0.38525084374078,0.315744721744509,0.247482599491439,0.071953947732253,0.230169507233297,0.177577811972764,-0.296309487155767,1.44059315629894,0.0485798551960233
"4",10422,3,0.97263807412711,1,0,0,0,0,0,0,1,-2.40480346803909,-0.221491061855264,2.26151547555661,-2.27236983835647,-2.24642536203878,-2.43357889499914,-0.440476706075309,-1.32817103534993,-1.24822943744359,-0.361019922100076,-1.72168450386945,-0.534378407156249
"5",16907,3,-0.462966946659923,0,1,0,0,0,0,0,1,0.195195322507918,-0.213422170712995,-0.402186948718267,0.0997794138563945,-0.0036946653245756,0.0412470999152403,-0.0613602904662565,1.41564683323497,1.21452853882102,-0.250843119251184,-0.316227766016833,-0.372445556502836
"6",13261,5,-0.76910397074333,1,0,0,0,0,0,1,0,0.146463070720322,-0.479695578407847,-0.570640979052669,-0.0167018042959129,0.688424006658444,0.659953598643836,-0.641622004060283,-1.35236445016629,-1.3130388578716,-0.389733346813649,0.913546879604164,-0.178126135718754
"7",17641,2,1.16070860086777,0,1,0,0,0,0,1,0,-0.352860931449672,-0.433299454339805,1.34946693090171,1.73914470637035,-0.825241364826968,-0.371223899237157,2.74071935805142,0.27997947891404,0.20350158014397,-0.34728925081001,-0.140545673785253,-0.340058986372154
"8",16785,4,-0.363707501991242,1,0,0,0,0,1,0,0,1.36539192079147,2.24557240489325,-0.240101284295162,0.341370088542662,1.37388769141086,1.27866009737243,-0.440476706075309,1.34116906605519,1.66819448181713,2.8302145848409,-1.3703203194063,2.80143831630396
"9",4713,3,-1.09091353872179,1,0,0,0,0,1,0,0,-0.208428083000417,-0.655193960752182,-0.0557394269432788,0.630416074328017,0.482119402509657,0.453718099067638,-0.6932454793954,0.336430780152215,0.242387232400779,-0.363429750040667,0.210818510677898,-0.469605266894881
"10",2886,2,1.416693484487,0,1,0,0,1,0,0,0,-0.25352876173074,-1.39954916862643,-0.800614817384352,-0.0727853537766536,-0.496163720389417,-0.577459398813356,-0.00466797581057633,-1.14743199525124,-1.13157248067316,-0.450886107886701,0.386500602909459,-0.469605266894881
